title,score,concept,ShownAT,ImageURL
['Caravaggio. Portret van Alof de Wignacourt'],17.154642,"['Portraiture', 'Education', 'Slides', 'Portrait', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112183&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112183&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222902%2Fstream&type=IMAGE']
"['The Betrayal of Judas', ""Judas' forræderi""]",17.154642,['Painting'],n/a,['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcspic.smk.dk%2Fglobus%2F30423253%2Fimg0184.jpg&type=IMAGE']
['Caravaggio. Apostel Mattheüs en de engel'],17.102678,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112130&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112130&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222866%2Fstream&type=IMAGE']
['Caravaggio. De dood van Maria'],17.102678,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009118632&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009118632&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2223334%2Fstream&type=IMAGE']
['Caravaggio. Apostel Mattheüs en de engel'],17.102678,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112127&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112127&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222862%2Fstream&type=IMAGE']
['Caravaggio. Sint-Catharina van Alexandrië'],17.102678,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112055&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112055&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222818%2Fstream&type=IMAGE']
['Caravaggio. Madonna del Rosario'],17.102678,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01009112179&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_009112179&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F2222898%2Fstream&type=IMAGE']
['Anoniem. Caravaggio (naar). Heilige Hieronymus'],17.102678,"['Religious art', 'Education', 'Slides', 'Art history', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fservices.libis.be%2Fv0%2Fprimo%2Fquery_builder%3Fquery%3Dsys%3ALBS01008892933&provider=Photoconsortium&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2024903%2Fphotography_ProvidedCHO_KU_Leuven_008892933&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.libis.be%2F1965708%2Fstream&type=IMAGE']
['Butin de guerre avec deux prisonniers (gaulois ?)'],14.670004,['Drawing'],['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fbalat.kikirpa.be%2Fobject%2F10130932&provider=AthenaPlus&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048001%2FAthena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10285970&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2Fthumbnail%2FA117523.jpg&type=IMAGE']
['Saint Catherine of Alexandria'],14.526484,"['Art', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.museothyssen.org%2Fapp%2Fapieuropeana%2Fpermurl.php%3Fcode%3DMTB-FO-1934.37&provider=Thyssen-Bornemisza+Museum&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2058501%2FMTB_AW_1934_37&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.museothyssen.org%2Fapp%2Fapieuropeana%2Fpermurl.php%3Fcode%3DMTB-IOM-1934.37&type=IMAGE']
